sku,server_description,category,sub_category,product_type,part_number,part_description,RoHS,store_name
R4K33A,HPE CRAY EX425 COMPUTE BLADE,-N/A-,Unknown Keyword,Servers,101380002,"EJECTOR ASSY,SEALED PANEL WIDE",COMPLY_2106,HPE
R4K33A,HPE CRAY EX425 COMPUTE BLADE,-N/A-,Unknown Keyword,Servers,101661102,"CABLE ASSY,POWER SHASTA COMPUT",COMPLY_2106,HPE
R4K33A,HPE CRAY EX425 COMPUTE BLADE,-N/A-,Unknown Keyword,Servers,101920401,"LED-SWITCH ASSY,1U BLADE FULL",COMPLY_2106,HPE
R4K33A,HPE CRAY EX425 COMPUTE BLADE,-N/A-,Unknown Keyword,Servers,101980704,"CABLE ASSY,20P TO 2X10P Y-CABL",COMPLY_2106,HPE
R4K33A,HPE CRAY EX425 COMPUTE BLADE,-N/A-,Unknown Keyword,Servers,101998201,"THERMAL PAD,CONDUCTIVE NIC-COLDPLATE 1MM",COMPLY_2106,HPE
R4K33A,HPE CRAY EX425 COMPUTE BLADE,-N/A-,Unknown Keyword,Servers,102011304,"MODULE ASSY,SHASTA WINDOM COMP",COMPLY_2106,HPE
R4K33A,HPE CRAY EX425 COMPUTE BLADE,-N/A-,Unknown Keyword,Servers,102045303,"CABLE ASSY,WCB HSS EXAMAX 4X8 L1=686MM",-N/A-,HPE
R4K33A,HPE CRAY EX425 COMPUTE BLADE,-N/A-,Unknown Keyword,Servers,102204000,"TIMM PAD,WNC PCA/IVOC RPR .5MM",COMPLY_2106,HPE
R4K33A,HPE CRAY EX425 COMPUTE BLADE,-N/A-,Unknown Keyword,Servers,102245300,"IVOC KIT,IVOC48 AND RISER CARD",COMPLY_2106,HPE
R4K33A,HPE CRAY EX425 COMPUTE BLADE,-N/A-,Unknown Keyword,Servers,P40031-001,"IVOC KIT,IVOC48 AND RISER CARD",-N/A-,HPE
R4K33A,HPE CRAY EX425 COMPUTE BLADE,-N/A-,Unknown Keyword,Servers,P40055-001,"MODULE ASSY,SHASTA WINDOM COMPUTE BLADE",-N/A-,HPE
R4K33A,HPE CRAY EX425 COMPUTE BLADE,-N/A-,Unknown Keyword,Servers,P41331-001,"SPS-THERMAL PAD,IVOC 0.5MM 5W/MK",-N/A-,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,101380002,"EJECTOR ASSY,SEALED PANEL WIDE",COMPLY_2106,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,101998201,"THERMAL PAD,CONDUCTIVE NIC-COLDPLATE 1MM",COMPLY_2106,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,P38216-001,Y,-N/A-,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,P38217-001,"SPS-SENSOR ASSY, LEAK DETECTION SINGLE",-N/A-,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,P38218-001,"SPS-LED SWITCH ASSY, 1U BLADE HALF POP",-N/A-,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,P38219-001,SPS-VLTG CNVTR SUPER-IVOC 3200W 380V-48V,-N/A-,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,P38220-001,"SPS-CBL ASSY, PWR 2x10P Y-CBL",-N/A-,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,P38221-001,"SPS-CABLE ASSY, LED SWITCH 10-10 8.5IN",-N/A-,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,P38222-001,"SPS-CBL,GPCB 4X8 TO SLIMSAS 750MM",-N/A-,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,P38223-001,SPS-CBL SIVOC CNTRL 20IN PICO-CLASP,-N/A-,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,P38224-001,SPS-CBL SIVOC CNTRL 27IN PICO-CLASP,-N/A-,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,P38769-001,SPS-NIC TIMMS SS 100GB 2P Mezz Card,-N/A-,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,P41330-001,SPS-THERMAL PASTE X23-7921-5 55G,-N/A-,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,P41331-001,"SPS-THERMAL PAD,IVOC 0.5MM 5W/MK",-N/A-,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,P41333-001,SPS-GAP PAD REPLACE KIT GPCB REDSTONE,-N/A-,HPE
R4K35A,HPE CRAY EX235N ACCELERATOR BLADE,-N/A-,Unknown Keyword,Servers,P41334-001,"SPS-GAP PAD REPLACEMENT KIT, GP CPU",-N/A-,HPE
R6G20A,CRAY XC50 AC SYSTEM SOLUTION,-N/A-,Processor,Servers,835615-001,"Intel Xeon E5-2695 v4 Eighteen-Core 64-bit processor - 2.1GHz base frequency (Broadwell, 45MB Intel Smart Cache, Intel QuickPath Interconnect (QPI) speed 9.6 GT/s, 120W Thermal Design Power (TDP), FCLGA 2011-3 socket)",COMPLY_5012,HPE
R6G20A,CRAY XC50 AC SYSTEM SOLUTION,-N/A-,Processor,Servers,835618-001,"Intel Xeon E5-2699 v4 Twenty-two-Core 64-bit processor - 2.2 GHz base frequency (Broadwell, 55MB Intel Smart Cache, Intel QuickPath Interconnect (QPI) speed 9.6 GT/s, 145W Thermal Design Power (TDP), FCLGA 2011-3 socket)",COMPLY_5012,HPE
R6G20A,CRAY XC50 AC SYSTEM SOLUTION,-N/A-,Processor,Servers,874729-001,"Intel Xeon Platinum 8160 Twenty-four Core 64-bit processor - 2.10GHz (Skylake), 33MB Level-3 cache, 150 watt thermal design power (TDP), socket FCLGA3647",COMPLY_2106,HPE
R6G20A,CRAY XC50 AC SYSTEM SOLUTION,-N/A-,Processor,Servers,874731-001,"Intel Xeon Gold 6150 eighteen-core 64-bit processor - 2.70GHz (Skylake), 24.75MB Level-3 cache, 165 watt thermal design power (TDP), socket FCLGA3647",COMPLY_2106,HPE
